Project,SFCS,,,,,,,,,,
Reference Documents,,,,,,,,,,,
Author,"Dinesh,Priya",,,,,,,,,,
Reviewer,,,,,,,,,,,
Module,Lay Plan Preparation,,,,,,,,,,
Test Case Count,116,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Test Case ID,Test Scenario,Test Description,Test Steps,Test Data,Expected Output,Actual Output,QA Status,GIT Id,Result (Pass/Fail),Clarifications,QA Remarks/Comments
LPP_104,Verifying the functionality of lay plan preparation in Cutting,Check the values of total no of plies and max plies per cut and ratio textboxes,1.Open Browser and enter url,http://localhost/sfcsui,"By default,the values in those fields are zero",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.check the default values of textboxes,,,,,,,,
LPP_105,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of total no of plies textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please fill max plies per cut""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter value in Total Number of Plies,33,,,,,,,
,,,15.By default remarks drop down value is Normal,,,,,,,,
,,,16.Click on enable check box,,,,,,,,
,,,17.Click on update button,,,,,,,,
LPP_106,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of max plies per cut textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Max plies exceeding Total plies""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter value in max Plies per cut,33,,,,,,,
,,,15.By default remarks drop down value is Normal,,,,,,,,
,,,16.Click on enable check box,,,,,,,,
LPP_107,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  total no of plies and max plies per cut textboxes,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Max plies exceeding Total plies""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.By default remarks drop down value is Normal,,,,,,,,
,,,15.Click on Enable check box,,,,,,,,
,,,16.Click on Update Button,,,,,,,,
LPP_108,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  ratio textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please fill the values in ratio fields""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,120,,,,,,,
,,,15.Enter values in Max Plies per cut,60,,,,,,,
,,,16.By default remarks drop down value is Normal,,,,,,,,
,,,17.Click on enable check box,,,,,,,,
,,,18.Click on Update Button,,,,,,,,
LPP_109,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  Order Allocation Form,1.Open Browser and enter url,http://localhost/sfcsui,Page should be redirected to lay plan preparation form and information should be updated in Marker fileds and Ratios fields ,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,,,,,,,,
,,,7.Select value from Select Schedule drop down,,,,,,,,
,,,8.Select value from Select Color drop down,,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,,,,,,,,
,,,15.Enter values in  Plies per cut,,,,,,,,
,,,16.Enter  values in ratio,,,,,,,,
,,,17.By default remarks drop down value is Normal,,,,,,,,
,,,18.Click on enable check box,,,,,,,,
,,,19.Click on Update Button,,,,,,,,
LPP_110,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  Order Allocation Form,1.Open Browser and enter url,http://localhost/sfcsui,Page should be redirected to lay plan preparation form and information should be updated in Marker fileds and Ratios fields ,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,,,,,,,,
,,,15.Enter values in  Plies per cut,,,,,,,,
,,,16.Enter  values in ratio,,,,,,,,
,,,17.Select Pilot value from remarks drop down,,,,,,,,
,,,18.Click on enable check box,,,,,,,,
,,,19.Click on Update Button,,,,,,,,
LPP_111,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  New ratio in Order Allocation Form,1.Open Browser and enter url,http://localhost/sfcsui,"Page should be redirected to lay plan preparation form and information should be updated in Marker fileds and Ratios fields,new ratio values should increase in order allocation form,new ratio values should increase in order allocation form",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,,,,,,,,
,,,7.Select value from Select Schedule drop down,,,,,,,,
,,,8.Select value from Select Color drop down,,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,,,,,,,,
,,,15.Enter values in  Plies per cut,,,,,,,,
,,,16.Enter  values in ratio,,,,,,,,
,,,17.Select Pilot value from remarks drop down,,,,,,,,
,,,18.Click on enable check box,,,,,,,,
,,,19.Click on Update Button,,,,,,,,
LPP_112,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of total no of plies textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please fill max plies per cut""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter value in Total Number of Plies,33,,,,,,,
,,,15.Select Pilot value from remarks drop down,,,,,,,,
,,,16.Click on enable check box,,,,,,,,
,,,17.Click on update button,,,,,,,,
LPP_113,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of max plies per cut textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Max plies exceeding Total plies""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,,,,,,,,
,,,7.Select value from Select Schedule drop down,,,,,,,,
,,,8.Select value from Select Color drop down,,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter value in max Plies per cut,33,,,,,,,
,,,15.Select Pilot value from remarks drop down,,,,,,,,
,,,16.Click on enable check box,,,,,,,,
LPP_114,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  total no of plies and max plies per cut textboxes,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Max plies exceeding Total plies""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Select Pilot value from remarks drop down,,,,,,,,
,,,15.Click on Enable check box,,,,,,,,
,,,16.Click on Update Button,,,,,,,,
LPP_115,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  Ratio textbox in Order Allocation form ,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please fill the values in ratio fields""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,120,,,,,,,
,,,15.Enter values in Max Plies per cut,60,,,,,,,
,,,16.Select Pilot value from remarks drop down,,,,,,,,
,,,17.Click on enable check box,,,,,,,,
,,,18.Click on Update Button,,,,,,,,
LPP_116,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of Ratios,in Lay Plan Preparation",1.Open Browser and enter url,http://localhost/sfcsui,"Values should be updated in Total Plies,Max Plies/Cut and Sizes and Ratio Total in Ratios",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,120,,,,,,,
,,,15.Enter values in Max Plies per cut,60,,,,,,,
,,,16.Enter  values in ratio,2,,,,,,,
,,,17.Select remarks dropdown,,,,,,,,
,,,18.Click on enable check box,,,,,,,,
,,,19.Click on Update Button,,,,,,,,
LPP_117,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of fileds Marker,in Lay Plan Preparation",1.Open Browser and enter url,http://localhost/sfcsui,"MK Ref,Category,TID,cat_ID,,Allocate_REF,MK Length, MK EFF%,Remarks,Controls,Delete Control,Overall saving,CAD Consumption,Used Meters,Current status ,Remarks fileds should display in Marker panel",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
LPP_117,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of fileds Marker,in Lay Plan Preparation",1.Open Browser and enter url,,,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,,,,,,,,
,,,7.Select value from Select Schedule drop down,,,,,,,,
,,,8.Select value from Select Color drop down,,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
